chunk_id,parent_doc_id,source_type,title,year,statement_type,note_number,section_type,chunk_index,chunk_count,chunk_text_length
2014_section_0_chunk_0,2014_section_0,main_section,독립된 감사인의 감사보고서,2014,,,auditor_report_title,0,1,183
2014_section_1_chunk_0,2014_section_1,main_section,재무제표에 대한 경영진의 책임,2014,,,management_responsibility,0,1,135
2014_section_2_chunk_0,2014_section_2,main_section,감사인의 책임,2014,,,auditor_responsibility,0,1,572
2014_section_3_chunk_0,2014_section_3,main_section,감사의견,2014,,,opinion,0,1,144
2014_section_4_chunk_0,2014_section_4,main_section,기타사항,2014,,,other_matters,0,1,92
2014_section_5_chunk_0,2014_section_5,main_section,(첨부)재 무 제 표,2014,,,attached_financial_statements,0,1,11
2014_section_6_chunk_0,2014_section_6,main_section,주석,2014,,,notes_section,0,14,1124
2014_section_6_chunk_1,2014_section_6,main_section,주석,2014,,,notes_section,1,14,1304
2014_section_6_chunk_2,2014_section_6,main_section,주석,2014,,,notes_section,2,14,1278
2014_section_6_chunk_3,2014_section_6,main_section,주석,2014,,,notes_section,3,14,1334
2014_section_6_chunk_4,2014_section_6,main_section,주석,2014,,,notes_section,4,14,1351
2014_section_6_chunk_5,2014_section_6,main_section,주석,2014,,,notes_section,5,14,1276
2014_section_6_chunk_6,2014_section_6,main_section,주석,2014,,,notes_section,6,14,1208
2014_section_6_chunk_7,2014_section_6,main_section,주석,2014,,,notes_section,7,14,1289
2014_section_6_chunk_8,2014_section_6,main_section,주석,2014,,,notes_section,8,14,1135
2014_section_6_chunk_9,2014_section_6,main_section,주석,2014,,,notes_section,9,14,1143
2014_section_6_chunk_10,2014_section_6,main_section,주석,2014,,,notes_section,10,14,1341
2014_section_6_chunk_11,2014_section_6,main_section,주석,2014,,,notes_section,11,14,1333
2014_section_6_chunk_12,2014_section_6,main_section,주석,2014,,,notes_section,12,14,1349
2014_section_6_chunk_13,2014_section_6,main_section,주석,2014,,,notes_section,13,14,1072
2014_section_7_chunk_0,2014_section_7,main_section,(주석,2014,,,notes_section,0,2,1174
2014_section_7_chunk_1,2014_section_7,main_section,(주석,2014,,,notes_section,1,2,239
2014_section_8_chunk_0,2014_section_8,main_section,주석,2014,,,notes_section,0,3,1136
2014_section_8_chunk_1,2014_section_8,main_section,주석,2014,,,notes_section,1,3,1346
2014_section_8_chunk_2,2014_section_8,main_section,주석,2014,,,notes_section,2,3,1014
2014_section_9_chunk_0,2014_section_9,main_section,주석,2014,,,notes_section,0,12,1123
2014_section_9_chunk_1,2014_section_9,main_section,주석,2014,,,notes_section,1,12,1345
2014_section_9_chunk_2,2014_section_9,main_section,주석,2014,,,notes_section,2,12,1348
2014_section_9_chunk_3,2014_section_9,main_section,주석,2014,,,notes_section,3,12,1269
2014_section_9_chunk_4,2014_section_9,main_section,주석,2014,,,notes_section,4,12,1343
2014_section_9_chunk_5,2014_section_9,main_section,주석,2014,,,notes_section,5,12,1331
2014_section_9_chunk_6,2014_section_9,main_section,주석,2014,,,notes_section,6,12,1318
2014_section_9_chunk_7,2014_section_9,main_section,주석,2014,,,notes_section,7,12,1345
2014_section_9_chunk_8,2014_section_9,main_section,주석,2014,,,notes_section,8,12,1348
2014_section_9_chunk_9,2014_section_9,main_section,주석,2014,,,notes_section,9,12,1296
2014_section_9_chunk_10,2014_section_9,main_section,주석,2014,,,notes_section,10,12,1265
2014_section_9_chunk_11,2014_section_9,main_section,주석,2014,,,notes_section,11,12,1139
2014_note_1_0_chunk_0,2014_note_1_0,note_block,1. 일반적 사항 :,2014,,1,,0,1,366
2014_note_2_1_chunk_0,2014_note_2_1,note_block,2. 중요한 회계처리방침 :,2014,,2,,0,7,963
2014_note_2_1_chunk_1,2014_note_2_1,note_block,2. 중요한 회계처리방침 :,2014,,2,,1,7,1206
2014_note_2_1_chunk_2,2014_note_2_1,note_block,2. 중요한 회계처리방침 :,2014,,2,,2,7,1262
2014_note_2_1_chunk_3,2014_note_2_1,note_block,2. 중요한 회계처리방침 :,2014,,2,,3,7,1146
2014_note_2_1_chunk_4,2014_note_2_1,note_block,2. 중요한 회계처리방침 :,2014,,2,,4,7,1320
2014_note_2_1_chunk_5,2014_note_2_1,note_block,2. 중요한 회계처리방침 :,2014,,2,,5,7,1246
2014_note_2_1_chunk_6,2014_note_2_1,note_block,2. 중요한 회계처리방침 :,2014,,2,,6,7,965
2014_note_2_2_chunk_0,2014_note_2_2,note_block,2. 중요,2014,,2,,0,1,900
2014_note_2_3_chunk_0,2014_note_2_3,note_block,2. 중요,2014,,2,,0,3,1083
2014_note_2_3_chunk_1,2014_note_2_3,note_block,2. 중요,2014,,2,,1,3,1317
2014_note_2_3_chunk_2,2014_note_2_3,note_block,2. 중요,2014,,2,,2,3,772
2014_note_3_4_chunk_0,2014_note_3_4,note_block,3. 중요한 회계추정 및 가정,2014,,3,,0,2,1175
2014_note_3_4_chunk_1,2014_note_3_4,note_block,3. 중요한 회계추정 및 가정,2014,,3,,1,2,527
2014_note_6_5_chunk_0,2014_note_6_5,note_block,6. 범주별 금융상품 :,2014,,6,,0,1,172
2014_note_7_6_chunk_0,2014_note_7_6,note_block,7. 금융자산의 신용건전성 :,2014,,7,,0,1,503
2014_note_8_7_chunk_0,2014_note_8_7,note_block,8. 금융자산의 양도 :,2014,,8,,0,1,258
2014_note_9_8_chunk_0,2014_note_9_8,note_block,9. 매도가능금융자산 :,2014,,9,,0,2,1189
2014_note_9_8_chunk_1,2014_note_9_8,note_block,9. 매도가능금융자산 :,2014,,9,,1,2,204
2014_note_10_9_chunk_0,2014_note_10_9,note_block,10. 매출채권 및 미수금 :,2014,,10,,0,1,534
2014_note_11_10_chunk_0,2014_note_11_10,note_block,11. 재고자산 :,2014,,11,,0,1,160
2014_note_12_11_chunk_0,2014_note_12_11,note_block,"12. 종속기업, 관계기업 및 공동기업 투자 :",2014,,12,,0,2,1170
2014_note_12_11_chunk_1,2014_note_12_11,note_block,"12. 종속기업, 관계기업 및 공동기업 투자 :",2014,,12,,1,2,417
2014_note_13_12_chunk_0,2014_note_13_12,note_block,13. 유형자산 :,2014,,13,,0,1,621
2014_note_15_13_chunk_0,2014_note_15_13,note_block,15. 차입금 :,2014,,15,,0,1,90
2014_note_16_14_chunk_0,2014_note_16_14,note_block,16. 사채 :,2014,,16,,0,1,262
2014_note_17_15_chunk_0,2014_note_17_15,note_block,"17. 순확정급여부채(자산), 계속 :",2014,,17,,0,1,497
2014_note_19_16_chunk_0,2014_note_19_16,note_block,19. 우발부채와 약정사항 :,2014,,19,,0,2,1198
2014_note_19_16_chunk_1,2014_note_19_16,note_block,19. 우발부채와 약정사항 :,2014,,19,,1,2,731
2014_note_20_17_chunk_0,2014_note_20_17,note_block,20. 자본금 :,2014,,20,,0,1,244
2014_note_21_18_chunk_0,2014_note_21_18,note_block,21. 이익잉여금 :,2014,,21,,0,1,507
2014_note_22_19_chunk_0,2014_note_22_19,note_block,22. 주당배당금 :,2014,,22,,0,1,122
2014_note_23_20_chunk_0,2014_note_23_20,note_block,23. 기타자본항목 :,2014,,23,,0,1,645
2014_note_25_21_chunk_0,2014_note_25_21,note_block,25. 비용의 성격별 분류 :,2014,,25,,0,1,90
2014_note_26_22_chunk_0,2014_note_26_22,note_block,26. 판매비와관리비 :,2014,,26,,0,1,45
2014_note_27_23_chunk_0,2014_note_27_23,note_block,27. 기타수익,2014,,27,,0,1,54
2014_note_28_24_chunk_0,2014_note_28_24,note_block,28. 금융수익 및 금융비용 :,2014,,28,,0,1,111
2014_note_29_25_chunk_0,2014_note_29_25,note_block,29. 법인세비용 :,2014,,29,,0,1,535
2014_note_30_26_chunk_0,2014_note_30_26,note_block,30. 주당이익 :,2014,,30,,0,1,259
2014_note_31_27_chunk_0,2014_note_31_27,note_block,31. 현금흐름표 :,2014,,31,,0,1,311
2014_note_32_28_chunk_0,2014_note_32_28,note_block,32. 재무위험관리 :,2014,,32,,0,5,1194
2014_note_32_28_chunk_1,2014_note_32_28,note_block,32. 재무위험관리 :,2014,,32,,1,5,1215
2014_note_32_28_chunk_2,2014_note_32_28,note_block,32. 재무위험관리 :,2014,,32,,2,5,1304
2014_note_32_28_chunk_3,2014_note_32_28,note_block,32. 재무위험관리 :,2014,,32,,3,5,1306
2014_note_32_28_chunk_4,2014_note_32_28,note_block,32. 재무위험관리 :,2014,,32,,4,5,781
2014_note_33_29_chunk_0,2014_note_33_29,note_block,33. 특수관계자와의 거래,2014,,33,,0,2,1200
2014_note_33_29_chunk_1,2014_note_33_29,note_block,33. 특수관계자와의 거래,2014,,33,,1,2,286
2014_note_34_30_chunk_0,2014_note_34_30,note_block,34. 매각예정분류(처분자산집단),2014,,34,,0,1,615
2014_note_35_31_chunk_0,2014_note_35_31,note_block,35. 보고기간 후 사건,2014,,35,,0,1,723
2014_balance_sheet_chunk_0,2014_balance_sheet,normalized_table,balance_sheet,2014,balance_sheet,,,0,2,1200
2014_balance_sheet_chunk_1,2014_balance_sheet,normalized_table,balance_sheet,2014,balance_sheet,,,1,2,1013
2014_income_statement_chunk_0,2014_income_statement,normalized_table,income_statement,2014,income_statement,,,0,1,666
2014_comprehensive_income_chunk_0,2014_comprehensive_income,normalized_table,comprehensive_income,2014,comprehensive_income,,,0,1,376
2014_changes_in_equity_prior_period_0_chunk_0,2014_changes_in_equity_prior_period_0,normalized_table,changes_in_equity - prior_period,2014,changes_in_equity,,,0,1,744
2014_changes_in_equity_current_period_1_chunk_0,2014_changes_in_equity_current_period_1,normalized_table,changes_in_equity - current_period,2014,changes_in_equity,,,0,1,866
2014_cash_flow_chunk_0,2014_cash_flow,normalized_table,cash_flow,2014,cash_flow,,,0,2,1184
