source_type,year,chunk_count,avg_chunk_text_length
main_section,2014,37,1055.49
main_section,2015,37,1094.54
main_section,2016,42,1093.55
main_section,2017,44,1127.86
main_section,2018,44,1067.07
main_section,2019,41,1045.98
main_section,2020,39,1061.0
main_section,2021,40,1061.72
main_section,2022,38,1078.24
main_section,2023,32,1024.06
main_section,2024,31,1035.35
normalized_table,2014,8,794.62
normalized_table,2015,8,828.88
normalized_table,2016,8,804.88
normalized_table,2017,8,775.75
normalized_table,2018,8,809.38
normalized_table,2019,8,783.12
normalized_table,2020,8,735.12
normalized_table,2021,8,725.25
normalized_table,2022,8,727.0
normalized_table,2023,8,735.0
normalized_table,2024,8,748.38
note_block,2014,49,689.82
note_block,2015,52,664.21
note_block,2016,54,744.87
note_block,2017,56,782.88
note_block,2018,49,766.43
note_block,2019,48,692.71
note_block,2020,45,720.53
note_block,2021,46,724.28
note_block,2022,51,647.98
note_block,2023,42,573.29
note_block,2024,42,553.4
