file,year,record_count,main_section_count,note_block_count,normalized_table_count,table_summary_count
감사보고서_2014.htm,2014,292,10,32,6,244
감사보고서_2015.htm,2015,297,7,35,6,249
감사보고서_2016.htm,2016,286,7,29,6,244
감사보고서_2017.htm,2017,280,7,29,6,238
감사보고서_2018.htm,2018,299,10,27,6,256
감사보고서_2019.htm,2019,332,10,28,6,288
감사보고서_2020.htm,2020,321,10,26,6,279
감사보고서_2021.htm,2021,315,9,26,6,274
감사보고서_2022.htm,2022,321,8,31,6,276
감사보고서_2023.htm,2023,318,9,30,6,273
감사보고서_2024.htm,2024,323,8,31,6,278
