doc_id,source_type,title,year,statement_type,note_number,section_type,text_length
2014_section_0,main_section,독립된 감사인의 감사보고서,2014,,,auditor_report_title,183
2014_section_1,main_section,재무제표에 대한 경영진의 책임,2014,,,management_responsibility,135
2014_section_2,main_section,감사인의 책임,2014,,,auditor_responsibility,572
2014_section_3,main_section,감사의견,2014,,,opinion,144
2014_section_4,main_section,기타사항,2014,,,other_matters,92
2014_section_5,main_section,(첨부)재 무 제 표,2014,,,attached_financial_statements,11
2014_section_6,main_section,주석,2014,,,notes_section,15321
2014_section_7,main_section,(주석,2014,,,notes_section,1225
2014_section_8,main_section,주석,2014,,,notes_section,3074
2014_section_9,main_section,주석,2014,,,notes_section,13514
2014_note_1_0,note_block,1. 일반적 사항 :,2014,,1,,366
2014_note_2_1,note_block,2. 중요한 회계처리방침 :,2014,,2,,7282
2014_note_2_2,note_block,2. 중요,2014,,2,,900
2014_note_2_3,note_block,2. 중요,2014,,2,,2887
2014_note_3_4,note_block,3. 중요한 회계추정 및 가정,2014,,3,,1558
2014_note_6_5,note_block,6. 범주별 금융상품 :,2014,,6,,172
2014_note_7_6,note_block,7. 금융자산의 신용건전성 :,2014,,7,,503
2014_note_8_7,note_block,8. 금융자산의 양도 :,2014,,8,,258
2014_note_9_8,note_block,9. 매도가능금융자산 :,2014,,9,,1235
2014_note_10_9,note_block,10. 매출채권 및 미수금 :,2014,,10,,534
2014_note_11_10,note_block,11. 재고자산 :,2014,,11,,160
2014_note_12_11,note_block,"12. 종속기업, 관계기업 및 공동기업 투자 :",2014,,12,,1419
2014_note_13_12,note_block,13. 유형자산 :,2014,,13,,621
2014_note_15_13,note_block,15. 차입금 :,2014,,15,,90
2014_note_16_14,note_block,16. 사채 :,2014,,16,,262
2014_note_17_15,note_block,"17. 순확정급여부채(자산), 계속 :",2014,,17,,917
2014_note_19_16,note_block,19. 우발부채와 약정사항 :,2014,,19,,1772
2014_note_20_17,note_block,20. 자본금 :,2014,,20,,244
2014_note_21_18,note_block,21. 이익잉여금 :,2014,,21,,507
2014_note_22_19,note_block,22. 주당배당금 :,2014,,22,,122
2014_note_23_20,note_block,23. 기타자본항목 :,2014,,23,,645
2014_note_25_21,note_block,25. 비용의 성격별 분류 :,2014,,25,,90
2014_note_26_22,note_block,26. 판매비와관리비 :,2014,,26,,45
2014_note_27_23,note_block,27. 기타수익,2014,,27,,54
2014_note_28_24,note_block,28. 금융수익 및 금융비용 :,2014,,28,,111
2014_note_29_25,note_block,29. 법인세비용 :,2014,,29,,535
2014_note_30_26,note_block,30. 주당이익 :,2014,,30,,259
2014_note_31_27,note_block,31. 현금흐름표 :,2014,,31,,311
2014_note_32_28,note_block,32. 재무위험관리 :,2014,,32,,5221
2014_note_33_29,note_block,33. 특수관계자와의 거래,2014,,33,,1309
2014_note_34_30,note_block,34. 매각예정분류(처분자산집단),2014,,34,,615
2014_note_35_31,note_block,35. 보고기간 후 사건,2014,,35,,723
2014_balance_sheet,normalized_table,balance_sheet,2014,balance_sheet,,,2146
2014_income_statement,normalized_table,income_statement,2014,income_statement,,,666
2014_comprehensive_income,normalized_table,comprehensive_income,2014,comprehensive_income,,,376
2014_changes_in_equity_prior_period_0,normalized_table,changes_in_equity - prior_period,2014,changes_in_equity,,,744
2014_changes_in_equity_current_period_1,normalized_table,changes_in_equity - current_period,2014,changes_in_equity,,,866
2014_cash_flow,normalized_table,cash_flow,2014,cash_flow,,,1408
2014_table_summary_0,table_summary,table_summary_0,2014,,,,107
2014_table_summary_1,table_summary,table_summary_1,2014,,,,91
2014_table_summary_2,table_summary,table_summary_2,2014,,,,79
2014_table_summary_3,table_summary,table_summary_3,2014,,,,97
2014_table_summary_4,table_summary,table_summary_4,2014,,,,211
2014_table_summary_5,table_summary,table_summary_5,2014,,,,62
2014_table_summary_6,table_summary,table_summary_6,2014,,,,107
2014_table_summary_7,table_summary,table_summary_7,2014,,,,107
2014_table_summary_8,table_summary,table_summary_8,2014,,,,97
2014_table_summary_9,table_summary,table_summary_9,2014,,,,135
2014_table_summary_10,table_summary,table_summary_10,2014,,,,202
2014_table_summary_11,table_summary,table_summary_11,2014,,,,165
2014_table_summary_12,table_summary,table_summary_12,2014,,,,82
2014_table_summary_13,table_summary,table_summary_13,2014,,,,257
2014_table_summary_14,table_summary,table_summary_14,2014,,,,200
2014_table_summary_15,table_summary,table_summary_15,2014,,,,82
2014_table_summary_16,table_summary,table_summary_16,2014,,,,287
2014_table_summary_17,table_summary,table_summary_17,2014,,,,201
2014_table_summary_18,table_summary,table_summary_18,2014,,,,82
2014_table_summary_19,table_summary,table_summary_19,2014,,,,258
2014_table_summary_20,table_summary,table_summary_20,2014,,,,192
2014_table_summary_21,table_summary,table_summary_21,2014,,,,82
2014_table_summary_22,table_summary,table_summary_22,2014,,,,250
2014_table_summary_23,table_summary,table_summary_23,2014,,,,189
2014_table_summary_24,table_summary,table_summary_24,2014,,,,82
2014_table_summary_25,table_summary,table_summary_25,2014,,,,114
2014_table_summary_26,table_summary,table_summary_26,2014,,,,97
2014_table_summary_27,table_summary,table_summary_27,2014,,,,96
2014_table_summary_28,table_summary,table_summary_28,2014,,,,63
2014_table_summary_29,table_summary,table_summary_29,2014,,,,119
2014_table_summary_30,table_summary,table_summary_30,2014,,,,63
2014_table_summary_31,table_summary,table_summary_31,2014,,,,78
2014_table_summary_32,table_summary,table_summary_32,2014,,,,63
2014_table_summary_33,table_summary,table_summary_33,2014,,,,165
2014_table_summary_34,table_summary,table_summary_34,2014,,,,63
2014_table_summary_35,table_summary,table_summary_35,2014,,,,152
2014_table_summary_36,table_summary,table_summary_36,2014,,,,63
2014_table_summary_37,table_summary,table_summary_37,2014,,,,165
2014_table_summary_38,table_summary,table_summary_38,2014,,,,63
2014_table_summary_39,table_summary,table_summary_39,2014,,,,152
2014_table_summary_40,table_summary,table_summary_40,2014,,,,63
2014_table_summary_41,table_summary,table_summary_41,2014,,,,191
2014_table_summary_42,table_summary,table_summary_42,2014,,,,63
2014_table_summary_43,table_summary,table_summary_43,2014,,,,182
2014_table_summary_44,table_summary,table_summary_44,2014,,,,63
2014_table_summary_45,table_summary,table_summary_45,2014,,,,198
2014_table_summary_46,table_summary,table_summary_46,2014,,,,63
2014_table_summary_47,table_summary,table_summary_47,2014,,,,141
2014_table_summary_48,table_summary,table_summary_48,2014,,,,63
2014_table_summary_49,table_summary,table_summary_49,2014,,,,150
2014_table_summary_50,table_summary,table_summary_50,2014,,,,63
2014_table_summary_51,table_summary,table_summary_51,2014,,,,130
