source_type,year,record_count,avg_text_length
main_section,2014,10,3427.1
main_section,2015,7,5044.142857142857
main_section,2016,7,5712.857142857143
main_section,2017,7,6178.857142857143
main_section,2018,10,4099.0
main_section,2019,10,3745.8
main_section,2020,10,3591.2
main_section,2021,9,4076.1111111111113
main_section,2022,8,4504.375
main_section,2023,9,3213.777777777778
main_section,2024,8,3523.75
normalized_table,2014,6,1034.3333333333333
normalized_table,2015,6,1080.6666666666667
normalized_table,2016,6,1046.5
normalized_table,2017,6,1010.5
normalized_table,2018,6,1052.8333333333333
normalized_table,2019,6,1019.0
normalized_table,2020,6,954.3333333333334
normalized_table,2021,6,942.1666666666666
normalized_table,2022,6,944.5
normalized_table,2023,6,954.0
normalized_table,2024,6,971.8333333333334
note_block,2014,32,991.46875
note_block,2015,35,937.9142857142857
note_block,2016,29,1293.551724137931
note_block,2017,29,1406.0689655172414
note_block,2018,27,1317.037037037037
note_block,2019,28,1109.4642857142858
note_block,2020,26,1160.6153846153845
note_block,2021,26,1192.3076923076924
note_block,2022,31,980.6774193548387
note_block,2023,30,748.8333333333334
note_block,2024,31,701.4516129032259
table_summary,2014,244,123.0327868852459
table_summary,2015,249,122.04819277108433
table_summary,2016,244,124.47950819672131
table_summary,2017,238,127.29411764705883
table_summary,2018,256,124.87890625
table_summary,2019,288,130.65625
table_summary,2020,279,130.92831541218638
table_summary,2021,274,132.31386861313868
table_summary,2022,276,132.6014492753623
table_summary,2023,273,131.16483516483515
table_summary,2024,278,130.4388489208633
